Time_taken, Dev_set_loss, Train_set_loss, Train_loss, Context_length, Embedding_dim, Hidden_neurons
0.30 seconds, 2.665968656539917, 2.6756584644317627, 2.646559476852417, 1, 1, 50
0.43 seconds, 2.6583995819091797, 2.6604928970336914, 2.5487594604492188, 1, 1, 100
0.57 seconds, 2.6643905639648438, 2.669351816177368, 2.8190722465515137, 1, 1, 150
0.73 seconds, 2.621014356613159, 2.6289172172546387, 2.4149909019470215, 1, 1, 200
0.91 seconds, 2.662813186645508, 2.6684298515319824, 2.7663943767547607, 1, 1, 250
1.11 seconds, 2.661066770553589, 2.657888412475586, 2.521974563598633, 1, 1, 300
1.32 seconds, 2.6689138412475586, 2.662187337875366, 2.883439779281616, 1, 1, 350
1.53 seconds, 2.621877908706665, 2.6243178844451904, 2.5596683025360107, 1, 1, 400
1.77 seconds, 2.6667044162750244, 2.6654818058013916, 2.747302532196045, 1, 1, 450
2.02 seconds, 2.6441948413848877, 2.6497302055358887, 2.6416757106781006, 1, 1, 500
2.14 seconds, 2.6991419792175293, 2.7006101608276367, 2.710783004760742, 1, 2, 50
2.28 seconds, 2.6674695014953613, 2.662437915802002, 2.904015302658081, 1, 2, 100
2.43 seconds, 2.610434055328369, 2.6186578273773193, 2.4074463844299316, 1, 2, 150
2.59 seconds, 2.6013054847717285, 2.600374937057495, 2.465514898300171, 1, 2, 200
2.82 seconds, 2.5863499641418457, 2.5834436416625977, 2.316124677658081, 1, 2, 250
3.04 seconds, 2.624635696411133, 2.6214425563812256, 2.4697933197021484, 1, 2, 300
3.27 seconds, 2.6037681102752686, 2.6062045097351074, 2.59407377243042, 1, 2, 350
3.48 seconds, 2.589214324951172, 2.585540533065796, 2.7899203300476074, 1, 2, 400
3.72 seconds, 2.5764009952545166, 2.5734169483184814, 2.5264666080474854, 1, 2, 450
3.97 seconds, 2.63598370552063, 2.6296780109405518, 2.211167812347412, 1, 2, 500
4.10 seconds, 2.6373395919799805, 2.6435017585754395, 2.3060264587402344, 1, 3, 50
4.24 seconds, 2.5944745540618896, 2.5958681106567383, 2.602402687072754, 1, 3, 100
4.39 seconds, 2.5898537635803223, 2.585275173187256, 2.4202094078063965, 1, 3, 150
4.56 seconds, 2.597050905227661, 2.5970499515533447, 2.5075416564941406, 1, 3, 200
4.75 seconds, 2.580772638320923, 2.575913190841675, 2.4270365238189697, 1, 3, 250
4.93 seconds, 2.5702662467956543, 2.5652103424072266, 2.74739408493042, 1, 3, 300
5.14 seconds, 2.586294412612915, 2.581772804260254, 2.9830336570739746, 1, 3, 350
5.34 seconds, 2.5955398082733154, 2.595576763153076, 2.649050712585449, 1, 3, 400
5.59 seconds, 2.6055455207824707, 2.5961148738861084, 2.1675331592559814, 1, 3, 450
5.85 seconds, 2.5692694187164307, 2.574708938598633, 2.3914055824279785, 1, 3, 500
5.97 seconds, 2.6203770637512207, 2.6181678771972656, 2.5859479904174805, 1, 4, 50
6.10 seconds, 2.584927797317505, 2.5839579105377197, 2.349008560180664, 1, 4, 100
6.25 seconds, 2.566072702407837, 2.5615992546081543, 2.715991735458374, 1, 4, 150
6.41 seconds, 2.5799624919891357, 2.5763025283813477, 2.4011263847351074, 1, 4, 200
6.58 seconds, 2.594000816345215, 2.595038890838623, 2.9447925090789795, 1, 4, 250
6.78 seconds, 2.5884029865264893, 2.584158182144165, 2.5792593955993652, 1, 4, 300
6.99 seconds, 2.6040215492248535, 2.5995728969573975, 2.336714744567871, 1, 4, 350
7.22 seconds, 2.5774660110473633, 2.5728466510772705, 2.4391520023345947, 1, 4, 400
7.50 seconds, 2.60736346244812, 2.599160671234131, 2.7312240600585938, 1, 4, 450
7.77 seconds, 2.5988264083862305, 2.5978875160217285, 2.4107325077056885, 1, 4, 500
7.90 seconds, 2.6308064460754395, 2.6322882175445557, 2.780327558517456, 1, 5, 50
8.05 seconds, 2.609992504119873, 2.606779098510742, 2.531231164932251, 1, 5, 100
8.20 seconds, 2.563323736190796, 2.5671186447143555, 2.4136803150177, 1, 5, 150
8.38 seconds, 2.5940167903900146, 2.586862325668335, 2.8902909755706787, 1, 5, 200
8.58 seconds, 2.5794246196746826, 2.575424909591675, 2.7873525619506836, 1, 5, 250
8.80 seconds, 2.5685551166534424, 2.5670530796051025, 2.5511927604675293, 1, 5, 300
9.02 seconds, 2.583484172821045, 2.575518846511841, 2.0977578163146973, 1, 5, 350
9.32 seconds, 2.5945892333984375, 2.5985960960388184, 2.822298765182495, 1, 5, 400
9.56 seconds, 2.5849661827087402, 2.5839710235595703, 2.3501152992248535, 1, 5, 450
9.81 seconds, 2.58760404586792, 2.5836455821990967, 2.5270729064941406, 1, 5, 500
9.94 seconds, 2.6039977073669434, 2.611530303955078, 2.4143879413604736, 1, 6, 50
10.07 seconds, 2.6026971340179443, 2.59293532371521, 2.4683949947357178, 1, 6, 100
10.22 seconds, 2.565560817718506, 2.5682244300842285, 2.7048466205596924, 1, 6, 150
10.42 seconds, 2.567694664001465, 2.560669422149658, 2.644916534423828, 1, 6, 200
10.60 seconds, 2.5948832035064697, 2.5934033393859863, 2.2883009910583496, 1, 6, 250
10.81 seconds, 2.612170696258545, 2.602592945098877, 2.379242181777954, 1, 6, 300
11.03 seconds, 2.61478853225708, 2.597050189971924, 2.61794114112854, 1, 6, 350
11.25 seconds, 2.580930471420288, 2.5747287273406982, 2.5029966831207275, 1, 6, 400
11.52 seconds, 2.6029722690582275, 2.5969090461730957, 2.5504770278930664, 1, 6, 450
11.77 seconds, 2.6341538429260254, 2.6284708976745605, 2.6621129512786865, 1, 6, 500
11.90 seconds, 2.6142921447753906, 2.6063878536224365, 2.616682291030884, 1, 7, 50
12.06 seconds, 2.600681781768799, 2.592209815979004, 2.4215826988220215, 1, 7, 100
12.21 seconds, 2.5746498107910156, 2.5715904235839844, 3.520206928253174, 1, 7, 150
12.37 seconds, 2.646199941635132, 2.6363887786865234, 2.4750518798828125, 1, 7, 200
12.54 seconds, 2.6028683185577393, 2.594142198562622, 2.2459006309509277, 1, 7, 250
12.73 seconds, 2.60536527633667, 2.5989773273468018, 2.671776533126831, 1, 7, 300
12.94 seconds, 2.6124532222747803, 2.614799737930298, 2.4031450748443604, 1, 7, 350
13.17 seconds, 2.6171557903289795, 2.614210605621338, 2.816819429397583, 1, 7, 400
13.41 seconds, 2.6248786449432373, 2.6144063472747803, 2.800316572189331, 1, 7, 450
13.66 seconds, 2.639225482940674, 2.631669759750366, 2.571784257888794, 1, 7, 500
13.78 seconds, 2.6039161682128906, 2.605257511138916, 2.3524694442749023, 1, 8, 50
13.91 seconds, 2.6379075050354004, 2.6365532875061035, 2.396644353866577, 1, 8, 100
14.06 seconds, 2.606461524963379, 2.6053669452667236, 3.154170036315918, 1, 8, 150
14.21 seconds, 2.6500754356384277, 2.6309425830841064, 2.645312547683716, 1, 8, 200
14.38 seconds, 2.6082565784454346, 2.5975003242492676, 2.6563632488250732, 1, 8, 250
14.57 seconds, 2.597836971282959, 2.5910260677337646, 2.578350067138672, 1, 8, 300
14.77 seconds, 2.6290791034698486, 2.6339924335479736, 2.413421154022217, 1, 8, 350
14.97 seconds, 2.608095407485962, 2.5970823764801025, 3.0372791290283203, 1, 8, 400
15.23 seconds, 2.612938642501831, 2.597717523574829, 2.3840415477752686, 1, 8, 450
15.47 seconds, 2.6237621307373047, 2.61769700050354, 2.4436211585998535, 1, 8, 500
15.59 seconds, 2.6242048740386963, 2.619030714035034, 3.043729305267334, 1, 9, 50
15.72 seconds, 2.6114566326141357, 2.6071672439575195, 2.231679677963257, 1, 9, 100
15.86 seconds, 2.628648042678833, 2.6222126483917236, 2.6789493560791016, 1, 9, 150
16.01 seconds, 2.6200146675109863, 2.6110715866088867, 2.7875900268554688, 1, 9, 200
16.19 seconds, 2.6449666023254395, 2.631214141845703, 2.772216796875, 1, 9, 250
16.39 seconds, 2.6685540676116943, 2.6370553970336914, 2.8170249462127686, 1, 9, 300
16.59 seconds, 2.607386589050293, 2.617403030395508, 1.9830912351608276, 1, 9, 350
16.80 seconds, 2.6283557415008545, 2.6139562129974365, 3.211050510406494, 1, 9, 400
17.04 seconds, 2.7141847610473633, 2.6877965927124023, 2.751941442489624, 1, 9, 450
17.32 seconds, 2.6112632751464844, 2.606093168258667, 2.9096641540527344, 1, 9, 500
17.44 seconds, 2.6446621417999268, 2.644041061401367, 2.8263120651245117, 1, 10, 50
17.57 seconds, 2.634993314743042, 2.621467113494873, 2.9338619709014893, 1, 10, 100
17.71 seconds, 2.6226422786712646, 2.608921766281128, 2.688663959503174, 1, 10, 150
17.87 seconds, 2.6353282928466797, 2.628909111022949, 2.7344002723693848, 1, 10, 200
18.04 seconds, 2.6222095489501953, 2.6154892444610596, 2.8335890769958496, 1, 10, 250
18.25 seconds, 2.6583571434020996, 2.644157648086548, 2.621499538421631, 1, 10, 300
18.56 seconds, 2.628265857696533, 2.6148574352264404, 3.663423538208008, 1, 10, 350
18.80 seconds, 2.6387743949890137, 2.6365725994110107, 2.615349054336548, 1, 10, 400
19.08 seconds, 2.648059129714966, 2.6457114219665527, 2.587574005126953, 1, 10, 450
19.37 seconds, 2.658085823059082, 2.656737804412842, 2.3511428833007812, 1, 10, 500
19.50 seconds, 2.679439067840576, 2.669360876083374, 3.1150271892547607, 1, 11, 50
19.63 seconds, 2.6160380840301514, 2.6004724502563477, 2.569944143295288, 1, 11, 100
19.77 seconds, 2.621574878692627, 2.618070363998413, 3.024899959564209, 1, 11, 150
19.93 seconds, 2.6452434062957764, 2.655208110809326, 3.505772352218628, 1, 11, 200
20.10 seconds, 2.621805429458618, 2.6127820014953613, 3.1061928272247314, 1, 11, 250
20.31 seconds, 2.6390159130096436, 2.6267335414886475, 2.418123722076416, 1, 11, 300
20.54 seconds, 2.674528121948242, 2.65805721282959, 2.8927974700927734, 1, 11, 350
20.78 seconds, 2.7008020877838135, 2.676368236541748, 3.6142728328704834, 1, 11, 400
21.05 seconds, 2.658222198486328, 2.6514697074890137, 2.6580569744110107, 1, 11, 450
21.35 seconds, 2.72975492477417, 2.7080867290496826, 2.5356364250183105, 1, 11, 500
21.47 seconds, 2.654235601425171, 2.646442174911499, 2.489686965942383, 1, 12, 50
21.60 seconds, 2.6681342124938965, 2.6437370777130127, 2.315195322036743, 1, 12, 100
21.75 seconds, 2.677144765853882, 2.661902666091919, 3.2612125873565674, 1, 12, 150
21.97 seconds, 2.6814873218536377, 2.6654138565063477, 2.855111837387085, 1, 12, 200
22.31 seconds, 2.6606595516204834, 2.656763792037964, 2.2789759635925293, 1, 12, 250
22.61 seconds, 2.6961684226989746, 2.691502332687378, 2.418658494949341, 1, 12, 300
22.90 seconds, 2.6566081047058105, 2.6493160724639893, 2.7878196239471436, 1, 12, 350
23.20 seconds, 2.660144329071045, 2.659174680709839, 2.506547212600708, 1, 12, 400
23.57 seconds, 2.684119701385498, 2.6545751094818115, 2.9585161209106445, 1, 12, 450
23.93 seconds, 2.7119333744049072, 2.6928675174713135, 2.4329261779785156, 1, 12, 500
24.09 seconds, 2.6604607105255127, 2.6475155353546143, 2.702057361602783, 1, 13, 50
24.28 seconds, 2.6692755222320557, 2.669041633605957, 2.6113433837890625, 1, 13, 100
24.48 seconds, 2.6386358737945557, 2.6323747634887695, 2.631970167160034, 1, 13, 150
24.69 seconds, 2.643568992614746, 2.6306490898132324, 3.195985794067383, 1, 13, 200
24.89 seconds, 2.6529922485351562, 2.6381337642669678, 2.5937740802764893, 1, 13, 250
25.13 seconds, 2.6848948001861572, 2.663029909133911, 2.427722215652466, 1, 13, 300
25.38 seconds, 2.694715976715088, 2.662073850631714, 2.2525150775909424, 1, 13, 350
25.63 seconds, 2.6888489723205566, 2.680189609527588, 3.331327438354492, 1, 13, 400
25.91 seconds, 2.6820809841156006, 2.696192979812622, 2.3010241985321045, 1, 13, 450
26.19 seconds, 2.665234327316284, 2.6562912464141846, 3.657778263092041, 1, 13, 500
